Date,Open,High,Low,Close,Adj Close,Volume
11-02-2022,7040,7079.950195,6921.049805,7011.600098,6986.162598,1276461
14-02-2022,6810,6930,6744.049805,6785.950195,6761.331543,1169766
15-02-2022,6800,7195,6785.950195,7142.049805,7116.13916,1346820
16-02-2022,7185,7224.950195,7050,7068.600098,7042.956055,1054041
17-02-2022,7120,7128,6982,7082.450195,7056.755859,903616
18-02-2022,7020,7116,7010,7030.100098,7004.595703,762517
21-02-2022,7000,7080.899902,6911,7006.350098,6980.931641,816664
22-02-2022,6800,7036.149902,6789,7011.350098,6985.913574,1258732
23-02-2022,7060,7117.350098,7027.450195,7044.549805,7018.992676,795228
24-02-2022,6800,6900.200195,6592.450195,6627.799805,6603.754883,1930040
25-02-2022,6800,6989.950195,6759,6969.399902,6944.115723,1413281
28-02-2022,6860,7025,6806.600098,7002.299805,6976.895996,1580891
02-03-2022,6918,6936.350098,6762,6831.549805,6806.765625,1608009
03-03-2022,6920,6944.299805,6725,6748.350098,6723.867676,1333999
04-03-2022,6688.399902,6698,6500,6537.899902,6514.181152,1996509
07-03-2022,6350,6370,6100,6125,6102.779297,2843588
08-03-2022,6128,6217.350098,5912.899902,6161.850098,6139.495605,2885783
09-03-2022,6219.5,6525,6121.850098,6472.5,6449.018555,2280131
10-03-2022,6794,6794,6501,6584.899902,6561.010742,2091561
11-03-2022,6550,6685,6490.049805,6628,6603.954102,1264771
14-03-2022,6601,6689,6500,6665.450195,6641.268555,1266846
15-03-2022,6677.200195,6750,6605,6666.549805,6642.364258,1479270
16-03-2022,6780,6899.399902,6743.350098,6840.600098,6815.783203,1633596
17-03-2022,6947.700195,7056.899902,6930.100098,6994.399902,6969.024902,1670678
21-03-2022,7000,7018.75,6850,6870.399902,6845.474609,962019
22-03-2022,6870,7010,6767,6985.799805,6960.456055,1273796
23-03-2022,7050,7104,6970,7004.799805,6979.387207,1176750
24-03-2022,6969,7035.549805,6881.25,6997.549805,6972.163574,783716
25-03-2022,7059,7067.450195,6940,6973.5,6948.200684,702373
28-03-2022,6990,7035,6870,7001.399902,6975.999512,936973
